index,Series,Vol,OI,TrdDate,VolTemp,OITemp
324,IRPC,4095,88262,2021-07-19,,
330,ITD,200,34287,2021-07-19,,
336,IVL,720,7524,2021-07-19,,
342,JAS,93,57855,2021-07-19,,
348,JMT,0,2845,2021-07-19,,
354,KBANK,132,12508,2021-07-19,,
360,KCE,658,4355,2021-07-19,,
366,KEX,107,1028,2021-07-19,,
372,KKP,70,1905,2021-07-19,,
378,KTB,137,23090,2021-07-19,,
384,KTC,636,48042,2021-07-19,,
390,LH,2,7642,2021-07-19,,
396,LPN,2,9249,2021-07-19,,
402,M,25,2605,2021-07-19,,
408,MAJOR,0,7565,2021-07-19,,
414,MBK,102,6178,2021-07-19,,
420,MEGA,0,369,2021-07-19,,
426,MINT,205,6013,2021-07-19,,
432,MTC,165,3123,2021-07-19,,
438,OR,130,6908,2021-07-19,,
444,ORI,0,22088,2021-07-19,,
450,OSP,115,3827,2021-07-19,,
456,PLANB,0,18057,2021-07-19,,
462,PRM,1,32125,2021-07-19,,
468,PSH,13,1552,2021-07-19,,
474,PSL,634,13182,2021-07-19,,
480,PTG,1005,13898,2021-07-19,,
486,PTT,545,12957,2021-07-19,,
492,PTTEP,337,1403,2021-07-19,,
498,PTTGC,458,13655,2021-07-19,,
504,QH,0,22967,2021-07-19,,
510,RATCH,21,3794,2021-07-19,,
516,RS,8,87784,2021-07-19,,
522,S,0,37210,2021-07-19,,
528,SAMART,1,9744,2021-07-19,,
534,SAWAD,70,7706,2021-07-19,,
540,SCB,84,2189,2021-07-19,,
546,SCC,108,3415,2021-07-19,,
552,SCGP,400,9451,2021-07-19,,
558,SGP,500,2561,2021-07-19,,
564,SIRI,1247,146380,2021-07-19,,
570,SPALI,300,495,2021-07-19,,
576,SPCG,0,8340,2021-07-19,,
582,SPRC,0,7588,2021-07-19,,
588,STA,953,13282,2021-07-19,,
594,STEC,103,16302,2021-07-19,,
600,STGT,446,6694,2021-07-19,,
606,STPI,0,17201,2021-07-19,,
612,SUPER,0,283599,2021-07-19,,
618,TASCO,1163,8870,2021-07-19,,
624,TCAP,300,1582,2021-07-19,,
630,THAI,0,18,2021-07-19,,
636,THANI,0,4552,2021-07-19,,
642,THCOM,33,14219,2021-07-19,,
648,THG,110,36,2021-07-19,,
654,TISCO,161,882,2021-07-19,,
660,TKN,0,10022,2021-07-19,,
666,TOA,2,2165,2021-07-19,,
672,TOP,112,5132,2021-07-19,,
