index,Series,Vol,OI,TrdDate,Avg5,Avg10
150,CBG,295,15413,2020-11-17,,
156,CENTEL,1283,2938,2020-11-17,,
162,CHG,1521,4739,2020-11-17,,
168,CK,1504,3053,2020-11-17,,
174,CKP,559,3463,2020-11-17,,
180,COM7,706,5555,2020-11-17,,
186,CPALL,964,9823,2020-11-17,,
192,CPF,660,20463,2020-11-17,,
198,CPN,1063,1066,2020-11-17,,
204,DELTA,87,996,2020-11-17,,
210,DTAC,657,2795,2020-11-17,,
216,EA,302,6437,2020-11-17,,
222,EASTW,0,400,2020-11-17,,
228,EGCO,485,1168,2020-11-17,,
234,EPG,1055,4731,2020-11-17,,
240,ERW,4074,10667,2020-11-17,,
246,ESSO,3469,4793,2020-11-17,,
252,GFPT,300,3685,2020-11-17,,
258,GLOBAL,1203,6405,2020-11-17,,
264,GPSC,1915,3715,2020-11-17,,
270,GULF,2311,13875,2020-11-17,,
276,GUNKUL,3030,31537,2020-11-17,,
282,HANA,133,1256,2020-11-17,,
288,HMPRO,607,2266,2020-11-17,,
294,ICHI,1780,15331,2020-11-17,,
300,INTUCH,166,2561,2020-11-17,,
306,IRPC,13049,31772,2020-11-17,,
312,ITD,3596,2243,2020-11-17,,
318,IVL,1913,5833,2020-11-17,,
324,JAS,613,45983,2020-11-17,,
330,JMT,508,2604,2020-11-17,,
336,KBANK,1556,5089,2020-11-17,,
342,KCE,639,1849,2020-11-17,,
348,KKP,316,2650,2020-11-17,,
354,KTB,666,19452,2020-11-17,,
360,KTC,132,42575,2020-11-17,,
366,LH,823,6159,2020-11-17,,
372,LPN,1535,15286,2020-11-17,,
378,M,86,102,2020-11-17,,
384,MAJOR,300,3170,2020-11-17,,
390,MBK,204,1519,2020-11-17,,
396,MEGA,14,74,2020-11-17,,
402,MINT,9757,26006,2020-11-17,,
408,MTC,1216,1774,2020-11-17,,
414,ORI,7,6253,2020-11-17,,
420,OSP,1942,3561,2020-11-17,,
426,PLANB,1003,6604,2020-11-17,,
432,PRM,1500,22683,2020-11-17,,
438,PSH,1334,4032,2020-11-17,,
444,PSL,1048,7723,2020-11-17,,
450,PTG,4822,6534,2020-11-17,,
456,PTT,1098,42638,2020-11-17,,
462,PTTEP,123,609,2020-11-17,,
468,PTTGC,1764,3230,2020-11-17,,
474,QH,3117,18397,2020-11-17,,
480,RATCH,86,745,2020-11-17,,
483,ROBINS,0,321,2020-11-17,,
489,RS,745,63965,2020-11-17,,
495,S,0,12002,2020-11-17,,
501,SAMART,4,8253,2020-11-17,,
507,SAWAD,1507,4678,2020-11-17,,
513,SCB,426,6464,2020-11-17,,
519,SCC,116,1115,2020-11-17,,
525,SGP,0,1000,2020-11-17,,
531,SIRI,24556,41444,2020-11-17,,
537,SPALI,200,944,2020-11-17,,
543,SPCG,104,7374,2020-11-17,,
549,SPRC,9727,11587,2020-11-17,,
555,STA,3864,7382,2020-11-17,,
561,STEC,428,4009,2020-11-17,,
567,STPI,25,2641,2020-11-17,,
573,SUPER,18775,186944,2020-11-17,,
579,TASCO,1413,6124,2020-11-17,,
585,TCAP,156,2005,2020-11-17,,
591,THAI,6,606,2020-11-17,,
597,THANI,1500,11500,2020-11-17,,
603,THCOM,9,9068,2020-11-17,,
609,THG,0,0,2020-11-17,,
615,TISCO,176,1086,2020-11-17,,
621,TKN,2501,51333,2020-11-17,,
627,TMB,7021,37856,2020-11-17,,
633,TOA,0,1502,2020-11-17,,
639,TOP,1376,1432,2020-11-17,,
645,TPIPL,1144,1920,2020-11-17,,
651,TPIPP,1530,5066,2020-11-17,,
657,TQM,2,455,2020-11-17,,
663,TRUE,2578,54689,2020-11-17,,
669,TTA,21,1580,2020-11-17,,
675,TTCL,42,9239,2020-11-17,,
681,TTW,0,2119,2020-11-17,,
687,TU,985,6354,2020-11-17,,
693,TVO,0,117,2020-11-17,,
699,UNIQ,0,179,2020-11-17,,
705,VGI,12222,23456,2020-11-17,,
711,VNG,2,17514,2020-11-17,,
717,VNT,2,1897,2020-11-17,,
723,WHA,25488,90382,2020-11-17,,
729,WHAUP,852,1202,2020-11-17,,
730,Single Stock,244876,1782265,2020-11-17,,
6,AAV,2116,10514,2020-11-18,,
12,ADVANC,398,4316,2020-11-18,,
18,AEONTS,76,468,2020-11-18,,
24,AMATA,404,1637,2020-11-18,,
30,AOT,1424,9575,2020-11-18,,
36,AP,4,1144,2020-11-18,,
42,BA,4,1759,2020-11-18,,
48,BANPU,2279,35354,2020-11-18,,
54,BAY,0,137,2020-11-18,,
60,BBL,215,1483,2020-11-18,,
66,BCH,201,3821,2020-11-18,,
72,BCP,2,1673,2020-11-18,,
78,BCPG,1113,5672,2020-11-18,,
84,BDMS,1738,8400,2020-11-18,,
90,BEAUTY,503,20004,2020-11-18,,
96,BEC,24,38716,2020-11-18,,
102,BEM,3012,12393,2020-11-18,,
108,BGRIM,178,2885,2020-11-18,,
114,BH,163,800,2020-11-18,,
120,BJC,44,916,2020-11-18,,
